Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Aberdeen School District 5,5.0,411.0,2185.0,4713.95,0.002115051430890663,0.0,4775.04546420364,0.48176578861915553,0.0,0.12525910504098045
Academy Of Arts Careers & Tech,8.0,1343.0,2072.0,1985.4125,0.2493505865173502,0.0,2002.1861610958,38.82813971901781,0.0,10.095316326944632
Aces Alternative High School,1.0,392.0,1347.0,2595.0,0.4875849288757354,0.0,2777.0553367100433,27.172836034298225,0.0,7.064937368917539
Adelaide Elementary School,1.0,34.0,1952.0,1102.0,0.07363286511405413,0.0,1185.7558839843891,1.2341402722115622,0.0,0.3208764707750062
Adolfo Camarillo High School,1.0,48.0,1563.0,350.0,0.11202862881700726,0.0,384.24403639584807,0.7512680409219671,0.0,0.19532969063971145
Agnes Risley Elementary School,8.0,1500.0,2109.0,15402.0,0.40934367684940914,0.0,15523.177806777026,485.919820712895,0.0,126.3391533853527
Aki Kurose Middle School,1.0,51.0,471.0,500.0,0.38370604038790584,0.0,544.1200698244135,10.681072708722061,0.0,2.7770789042677357
Alaska Airlines,8.0,1758.0,2138.0,2501.1575000000003,0.6885940668401356,0.0,2521.94454498454,131.0781741121882,0.0,34.08032526916894
Alaska Works Partnership,1.0,115.0,1648.0,1599.0,0.17274756882966866,0.0,1715.4784747443691,4.919669566714481,0.0,1.2791140873457651
Albert Einstein Elem School,1.0,602.0,1660.0,600.0,0.547169232886897,0.0,650.7040921101237,5.870339704757229,0.0,1.5262883232368796
Alcott Elementary,4.0,589.0,2072.0,4020.0,0.040151503157564834,0.0,4085.7239537489436,6.72343708031539,0.0,1.7480936408820014
Alexander Graham Bell Elem Sch,2.0,1093.0,1220.0,2975.0,0.8108602305278833,0.0,3075.237481633189,92.72094934097937,0.0,24.107446828654638
Alice Maxwell Elementary School,10.0,2044.0,2138.0,1010.4,0.8883502356543367,0.0,1017.7376884203039,84.373718457783,0.0,21.93716679902358
Alice Smith Elementary School,9.0,1889.0,1996.0,1557.5555555555557,0.8759229159972611,0.0,1569.4956295787783,123.89151401779611,0.0,32.211793644626994
Allen Creek Elementary School,1.0,1547.0,2157.0,489.99,0.7454028734646533,0.0,533.4510091936139,5.1088343789736985,0.0,1.3282969385331616
Alturas Elementary School,2.0,908.0,2150.0,472.5,0.4318985229069514,0.0,492.98051113910844,4.638561274838935,0.0,1.2060259314581232
Alyce Taylor Elementary School,8.0,1256.0,2145.0,814.375,0.12873594023032442,0.0,822.0359735552328,7.962802686305204,0.0,2.070328698439353
Amelia Earhart Middle School,2.0,235.0,1715.0,2855.5,0.0761227106377435,0.0,2951.928907018187,6.07144987951088,0.0,1.578576968672829
Amplify Life,1.0,83.0,177.0,503.0,0.7112521647257646,0.0,547.3175904929848,41.49157105512039,0.0,10.787808474331301
