Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn
ABSCO Alarms Inc.,0.0,0.0,1428.0,0.0,1.0,0.0
AGC Apprenticeship & Training,0.0,0.0,177.0,0.0,1.0,0.0
Aberdeen School District 5,5.0,411.0,2185.0,4713.95,0.002115051430890663,0.0
Abraham Lincoln Elem School,0.0,0.0,1311.0,0.0,1.0,0.0
Abraham Lincoln Elementary School,0.0,0.0,1583.0,0.0,1.0,0.0
Academy Of Arts Careers & Tech,8.0,1343.0,2072.0,1985.4125,0.2493505865173502,0.0
Aces Alternative High School,1.0,392.0,1347.0,2595.0,0.4875849288757354,0.0
Adelaide Elementary School,1.0,34.0,1952.0,1102.0,0.07363286511405413,0.0
Adolfo Camarillo High School,1.0,48.0,1563.0,350.0,0.11202862881700726,0.0
Adult Education,0.0,0.0,1127.0,0.0,1.0,0.0
Agnes Risley Elementary School,8.0,1500.0,2109.0,15402.0,0.40934367684940914,0.0
Aki Kurose Middle School,1.0,51.0,471.0,500.0,0.38370604038790584,0.0
Alaska Airlines,8.0,1758.0,2138.0,2501.1575000000003,0.6885940668401356,0.0
Alaska Works Partnership,1.0,115.0,1648.0,1599.0,0.17274756882966866,0.0
Albert Einstein Elem School,1.0,602.0,1660.0,600.0,0.547169232886897,0.0
Alcott Elementary,4.0,589.0,2072.0,4020.0,0.040151503157564834,0.0
Alderwood Middle School,0.0,0.0,1185.0,0.0,1.0,0.0
Alexander Graham Bell Elem Sch,2.0,1093.0,1220.0,2975.0,0.8108602305278833,0.0
Alice Maxwell Elementary School,10.0,2044.0,2138.0,1010.4,0.8883502356543367,0.0
Alice Smith Elementary School,9.0,1889.0,1996.0,1557.5555555555557,0.8759229159972611,0.0
Allen Creek Elementary School,1.0,1547.0,2157.0,489.99,0.7454028734646533,0.0
Alliance Jack H. Skirball Middle School,0.0,0.0,1689.0,0.0,1.0,0.0
Alturas Elementary School,2.0,908.0,2150.0,472.5,0.4318985229069514,0.0
Alyce Taylor Elementary School,8.0,1256.0,2145.0,814.375,0.12873594023032442,0.0
Amelia Earhart Middle School,2.0,235.0,1715.0,2855.5,0.0761227106377435,0.0
American Federal Contractors Inc,0.0,0.0,1655.0,0.0,1.0,0.0
Amplify Life,1.0,83.0,177.0,503.0,0.7112521647257646,0.0
