"Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage - K-12 Super Core Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1.00,""$2,750.00 "",""$2,750.00 "",AK,Nome Public Sc	hools																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage Additional Schlessinger Media K-8 Content Package   Renewal Period: 8/30/2020 - 8/29/2021,1.00,$495.00 ,$495.00 ,AK,Nome Public Sch	ools																																																															",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage Algebra's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1.00,$500.00 ,$500.00 ,AK,Nome Public Schools																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,""SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Se	rver S	oftware -	Ann	ual	so	ftware	up	gr	ades and	te	ch	su	pp	or	t f	or	Creat	io	nStati	on	"""," Managed""	Home	Acc	""ess","	Mul	ti	#NAME?	rmat	A	uto-Conv	ert	er	-	Excl	ud	es	hard	ware	Ren	ew	al	Per	io	d:	8/	30	/2020 -	29-Aug	/2	21	""","1.""	""00","""	$1","5""	0	""0 """"""	""","$1""	""","500""	0	""""""",AK,"N""	ome	P	ubli	c Sc	hools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage Math's Cool - Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1.00,$500.00 ,$500.00 ,AK,Nome Public Schools																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage Video Ency 20th Century Content Package  Renewal Period: 8/30/2020 - 8/29/2021,1.00,$295.00 ,$295.00 ,AK,Nome Public Schools																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19283,Safari Montage Visual Dictionary Interactive Image Content Package (Renewal)  Renewal Period: 8/30/2020 - 8/29/2021,1.00,$295.00 ,$295.00 ,AK,Nome	Publi	c Schools																																																														",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",,,,,,,,,																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",,,,,,,,,																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19281,Certified ACT Installation of NewLine Mobile Cart and Newline Interactive Flat Panel.,1.00,$475.00 ,$475.00 ,CA,AGC Apprenticeship & Training																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19281,TRUTOUCH 750RS Ultra-HD LED Multi-touch Display,1.00,""$2,799.00 "",""$2,799.00 "",CA,AGC Apprenticeship & Training																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19281,TRUTOUCH Mobile Stand,1.00,$424.00 ,$424.00 ,CA,AGC Apprenticeship & Training																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,7/7/2020,INV19281,TRUTOUCH On-Board Computer i7 8G PC Module,1.00,""$1,049.00 "",""$1,049.00 "",CA,AGC Apprenticeship & Training																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,9/15/2020,INV19416,iRover_™ for Interactive Flat Panels 500,7.00,""$1,430.00 "",""$10,010.00 "",CA,AMS.Net																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Invoice,5/15/2020,INV19200,SMART Learning Suite Extended Software Maintenance for 37 months,200.00,$125.20 ,""$25,040.00 "",CA,Anacortes School District 103																																																																",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
